Name,Price,Rating
Shop Stoppers 1 Electric Kettle,₹679,4.4
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
"Sujata by SUJATA dynamix 900 W Mixer Grinder (3 Jars, W...","₹5,649",4.5
OXPER Electronic Digital 10 Kg Weight Scale LCD Kitchen...,₹258,3.8
USHA 3616 Induction Cooktop,"₹2,264",4.2
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
krenz 7-Speed Electric Hand Mixer / Hand Blender for Ic...,₹398,4.1
Sujata pp powermatic plus 900 Juicer Mixer Grinder (3 J...,"₹6,099",4.4
Butterfly TURBO TOUCH Induction Cooktop,"₹2,950",4
varada VA-AFD6.5L BLACK Air Fryer,"₹5,899",4.5
Prestige ATLAS 1.0 Induction Cooktop with Pressure Cook...,"₹2,938",4
SAMSUNG 23 L Solo Microwave Oven,"₹6,590",4.3
HAVELLS Insta Cook RT 1400W Induction Cooktop,"₹2,348",4.2
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
krenz 7-Speed Electric Hand Mixer / egg beater for Ice-...,₹419,4.1
Elica Strip CF 60 Nero Wall Mounted Chimney,"₹5,499",4
BAJAJ REX- 500-Watts Mixer Grinder with 3 Jars High Qua...,"₹2,363",4.2
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
MAHARAJA WHITELINE MX-220 Ultramax HD 1000 W Mixer Grin...,"₹4,219",4.2
"HOMACE usbjuicer-1 Mini Juicer Shaker Bottle For Home, ...",₹499,3.6
Theodore Double Layer Egg Boiler 14 Egg Electric Cooker...,₹429,4.1
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
Hari Om Boiler Electric Automatic Off 7 Egg Poacher for...,₹359,4.1
Pigeon Hot Electric Kettle,₹845,4
Sansui Prima 2 Slice 800 W Pop Up Toaster,"₹1,248",4.3
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
MAHARAJA WHITELINE Odacio Prime / JX1-161 550 W Juicer ...,"₹3,150",4.4
Pigeon Hot Electric Kettle,₹749,4.1
Prestige Electric Kettke - Pkoss 1.5 Electric Kettle,₹840,4.1
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
"BAJAJ Stormix 750 W Mixer Grinder (3 Jars, Silver, Grey...","₹3,798",4.2
